year,pcode,zone_name,level,parent_pcode,sector,sub_sector,volume,unit,surface_area,yield,producer_count,average_price,description
2021,CM0010102,Ngaoundal,ARRONDISSEMENT,CM00101,Agriculture,Coton,2736,Tonnes,2299,1.19,1516,355,Production de Coton en 2021
2021,CM0010102,Ngaoundal,ARRONDISSEMENT,CM00101,Agriculture,Maïs,3674,Tonnes,1556,2.36,1647,260,Production de Maïs en 2021
2021,CM0010102,Ngaoundal,ARRONDISSEMENT,CM00101,Agriculture,Manioc,2835,Tonnes,228,12.43,1239,152,Production de Manioc en 2021
2021,CM0010102,Ngaoundal,ARRONDISSEMENT,CM00101,Agriculture,Pomme de terre,2738,Tonnes,289,9.47,1546,402,Production de Pomme de terre en 2021
2021,CM0010102,Ngaoundal,ARRONDISSEMENT,CM00101,Agriculture,Sorgho,2115,Tonnes,1305,1.62,978,198,Production de Sorgho en 2021
2021,CM0010102,Ngaoundal,ARRONDISSEMENT,CM00101,Agriculture,Arachide,3785,Tonnes,3102,1.22,1634,496,Production de Arachide en 2021
2021,CM0010102,Ngaoundal,ARRONDISSEMENT,CM00101,Elevage,Bovins,2122,Têtes,0,0,213,418743,Production de Bovins en 2021
2021,CM0010102,Ngaoundal,ARRONDISSEMENT,CM00101,Elevage,Petits Ruminants,2794,Têtes,0,0,313,40266,Production de Petits Ruminants en 2021
2021,CM00102,Faro-et-Déo,DEPARTEMENT,CM001,Agriculture,Coton,16006,Tonnes,12603,1.27,7756,343,Production de Coton en 2021
2021,CM00102,Faro-et-Déo,DEPARTEMENT,CM001,Agriculture,Maïs,19239,Tonnes,7917,2.43,10216,244,Production de Maïs en 2021
2021,CM00102,Faro-et-Déo,DEPARTEMENT,CM001,Agriculture,Manioc,11126,Tonnes,911,12.2,6511,157,Production de Manioc en 2021
2021,CM00102,Faro-et-Déo,DEPARTEMENT,CM001,Agriculture,Pomme de terre,11213,Tonnes,1171,9.57,5808,404,Production de Pomme de terre en 2021
2021,CM00102,Faro-et-Déo,DEPARTEMENT,CM001,Agriculture,Sorgho,14299,Tonnes,8718,1.64,6139,203,Production de Sorgho en 2021
2021,CM00102,Faro-et-Déo,DEPARTEMENT,CM001,Agriculture,Arachide,15496,Tonnes,13835,1.12,8998,520,Production de Arachide en 2021
2021,CM00102,Faro-et-Déo,DEPARTEMENT,CM001,Elevage,Bovins,14145,Têtes,0,0,1513,400277,Production de Bovins en 2021
2021,CM00102,Faro-et-Déo,DEPARTEMENT,CM001,Elevage,Petits Ruminants,16686,Têtes,0,0,1497,40909,Production de Petits Ruminants en 2021
2021,CM0010201,Tignère,ARRONDISSEMENT,CM00102,Agriculture,Coton,2123,Tonnes,1895,1.12,850,362,Production de Coton en 2021
2021,CM0010201,Tignère,ARRONDISSEMENT,CM00102,Agriculture,Maïs,3643,Tonnes,1505,2.42,1539,261,Production de Maïs en 2021
2021,CM0010201,Tignère,ARRONDISSEMENT,CM00102,Agriculture,Manioc,3827,Tonnes,304,12.58,1849,146,Production de Manioc en 2021
2021,CM0010201,Tignère,ARRONDISSEMENT,CM00102,Agriculture,Pomme de terre,2597,Tonnes,266,9.75,1502,417,Production de Pomme de terre en 2021
2021,CM0010201,Tignère,ARRONDISSEMENT,CM00102,Agriculture,Sorgho,3704,Tonnes,2519,1.47,1931,195,Production de Sorgho en 2021
2021,CM0010201,Tignère,ARRONDISSEMENT,CM00102,Agriculture,Arachide,3378,Tonnes,2639,1.28,1459,504,Production de Arachide en 2021
2021,CM0010201,Tignère,ARRONDISSEMENT,CM00102,Elevage,Bovins,2748,Têtes,0,0,318,396768,Production de Bovins en 2021
2021,CM0010201,Tignère,ARRONDISSEMENT,CM00102,Elevage,Petits Ruminants,3878,Têtes,0,0,362,39609,Production de Petits Ruminants en 2021
2021,CM0010202,Galim-Tignère,ARRONDISSEMENT,CM00102,Agriculture,Coton,2187,Tonnes,1822,1.2,1230,354,Production de Coton en 2021
2021,CM0010202,Galim-Tignère,ARRONDISSEMENT,CM00102,Agriculture,Maïs,3826,Tonnes,1460,2.62,1848,259,Production de Maïs en 2021
2021,CM0010202,Galim-Tignère,ARRONDISSEMENT,CM00102,Agriculture,Manioc,3426,Tonnes,312,10.98,1971,145,Production de Manioc en 2021
2021,CM0010202,Galim-Tignère,ARRONDISSEMENT,CM00102,Agriculture,Pomme de terre,3776,Tonnes,400,9.43,1868,387,Production de Pomme de terre en 2021
2021,CM0010202,Galim-Tignère,ARRONDISSEMENT,CM00102,Agriculture,Sorgho,2324,Tonnes,1539,1.51,1140,192,Production de Sorgho en 2021
2021,CM0010202,Galim-Tignère,ARRONDISSEMENT,CM00102,Agriculture,Arachide,3098,Tonnes,2603,1.19,1320,503,Production de Arachide en 2021
2021,CM0010202,Galim-Tignère,ARRONDISSEMENT,CM00102,Elevage,Bovins,2719,Têtes,0,0,242,398137,Production de Bovins en 2021
2021,CM0010202,Galim-Tignère,ARRONDISSEMENT,CM00102,Elevage,Petits Ruminants,2543,Têtes,0,0,276,38468,Production de Petits Ruminants en 2021
2021,CM00103,Mayo-Banyo,DEPARTEMENT,CM001,Agriculture,Coton,12367,Tonnes,9815,1.26,5462,346,Production de Coton en 2021
2021,CM00103,Mayo-Banyo,DEPARTEMENT,CM001,Agriculture,Maïs,12736,Tonnes,4806,2.65,5622,252,Production de Maïs en 2021
2021,CM00103,Mayo-Banyo,DEPARTEMENT,CM001,Agriculture,Manioc,18451,Tonnes,1448,12.74,8570,144,Production de Manioc en 2021
2021,CM00103,Mayo-Banyo,DEPARTEMENT,CM001,Agriculture,Pomme de terre,18356,Tonnes,1988,9.23,10581,403,Production de Pomme de terre en 2021
2021,CM00103,Mayo-Banyo,DEPARTEMENT,CM001,Agriculture,Sorgho,13729,Tonnes,10021,1.37,8165,205,Production de Sorgho en 2021
2021,CM00103,Mayo-Banyo,DEPARTEMENT,CM001,Agriculture,Arachide,19093,Tonnes,16044,1.19,7754,488,Production de Arachide en 2021
2021,CM00103,Mayo-Banyo,DEPARTEMENT,CM001,Elevage,Bovins,12994,Têtes,0,0,1558,411020,Production de Bovins en 2021
2021,CM00103,Mayo-Banyo,DEPARTEMENT,CM001,Elevage,Petits Ruminants,13518,Têtes,0,0,1441,40141,Production de Petits Ruminants en 2021
2021,CM0010301,Banyo,ARRONDISSEMENT,CM00103,Agriculture,Coton,2622,Tonnes,2048,1.28,1549,339,Production de Coton en 2021
2021,CM0010301,Banyo,ARRONDISSEMENT,CM00103,Agriculture,Maïs,2486,Tonnes,956,2.6,1233,243,Production de Maïs en 2021
2021,CM0010301,Banyo,ARRONDISSEMENT,CM00103,Agriculture,Manioc,2720,Tonnes,219,12.39,1298,157,Production de Manioc en 2021
2021,CM0010301,Banyo,ARRONDISSEMENT,CM00103,Agriculture,Pomme de terre,3579,Tonnes,382,9.36,1995,416,Production de Pomme de terre en 2021
2021,CM0010301,Banyo,ARRONDISSEMENT,CM00103,Agriculture,Sorgho,2497,Tonnes,1809,1.38,1390,204,Production de Sorgho en 2021
2021,CM0010301,Banyo,ARRONDISSEMENT,CM00103,Agriculture,Arachide,2882,Tonnes,2183,1.32,1387,482,Production de Arachide en 2021
2021,CM0010301,Banyo,ARRONDISSEMENT,CM00103,Elevage,Bovins,3276,Têtes,0,0,298,406608,Production de Bovins en 2021
2021,CM0010301,Banyo,ARRONDISSEMENT,CM00103,Elevage,Petits Ruminants,3735,Têtes,0,0,397,40766,Production de Petits Ruminants en 2021
2021,CM0010302,Bankim,ARRONDISSEMENT,CM00103,Agriculture,Coton,2869,Tonnes,2313,1.24,1505,335,Production de Coton en 2021
2021,CM0010302,Bankim,ARRONDISSEMENT,CM00103,Agriculture,Maïs,3234,Tonnes,1400,2.31,1474,256,Production de Maïs en 2021
2021,CM0010302,Bankim,ARRONDISSEMENT,CM00103,Agriculture,Manioc,3682,Tonnes,302,12.18,1585,147,Production de Manioc en 2021
2021,CM0010302,Bankim,ARRONDISSEMENT,CM00103,Agriculture,Pomme de terre,2910,Tonnes,297,9.77,1583,386,Production de Pomme de terre en 2021
2021,CM0010302,Bankim,ARRONDISSEMENT,CM00103,Agriculture,Sorgho,2905,Tonnes,1771,1.64,1560,204,Production de Sorgho en 2021
2021,CM0010302,Bankim,ARRONDISSEMENT,CM00103,Agriculture,Arachide,3555,Tonnes,3012,1.18,2107,480,Production de Arachide en 2021
2021,CM0010302,Bankim,ARRONDISSEMENT,CM00103,Elevage,Bovins,3436,Têtes,0,0,341,406506,Production de Bovins en 2021
2021,CM0010302,Bankim,ARRONDISSEMENT,CM00103,Elevage,Petits Ruminants,3037,Têtes,0,0,246,39276,Production de Petits Ruminants en 2021
2021,CM00104,Mbéré,DEPARTEMENT,CM001,Agriculture,Coton,15433,Tonnes,13537,1.14,6663,357,Production de Coton en 2021
2021,CM00104,Mbéré,DEPARTEMENT,CM001,Agriculture,Maïs,11415,Tonnes,4291,2.66,4671,257,Production de Maïs en 2021
2021,CM00104,Mbéré,DEPARTEMENT,CM001,Agriculture,Manioc,11791,Tonnes,896,13.15,5190,156,Production de Manioc en 2021
2021,CM00104,Mbéré,DEPARTEMENT,CM001,Agriculture,Pomme de terre,18172,Tonnes,1735,10.47,9970,413,Production de Pomme de terre en 2021
2021,CM00104,Mbéré,DEPARTEMENT,CM001,Agriculture,Sorgho,15502,Tonnes,10198,1.52,7908,202,Production de Sorgho en 2021
2021,CM00104,Mbéré,DEPARTEMENT,CM001,Agriculture,Arachide,19266,Tonnes,16900,1.14,9434,482,Production de Arachide en 2021
2021,CM00104,Mbéré,DEPARTEMENT,CM001,Elevage,Bovins,14391,Têtes,0,0,1472,393164,Production de Bovins en 2021
2021,CM00104,Mbéré,DEPARTEMENT,CM001,Elevage,Petits Ruminants,16027,Têtes,0,0,1329,40765,Production de Petits Ruminants en 2021
2021,CM0010401,Meiganga,ARRONDISSEMENT,CM00104,Agriculture,Coton,2457,Tonnes,2193,1.12,1266,357,Production de Coton en 2021
2021,CM0010401,Meiganga,ARRONDISSEMENT,CM00104,Agriculture,Maïs,2886,Tonnes,1154,2.5,1240,256,Production de Maïs en 2021
2021,CM0010401,Meiganga,ARRONDISSEMENT,CM00104,Agriculture,Manioc,3038,Tonnes,256,11.84,1265,151,Production de Manioc en 2021
2021,CM0010401,Meiganga,ARRONDISSEMENT,CM00104,Agriculture,Pomme de terre,3098,Tonnes,299,10.34,1635,391,Production de Pomme de terre en 2021
2021,CM0010401,Meiganga,ARRONDISSEMENT,CM00104,Agriculture,Sorgho,3253,Tonnes,2274,1.43,1768,199,Production de Sorgho en 2021
2021,CM0010401,Meiganga,ARRONDISSEMENT,CM00104,Agriculture,Arachide,3030,Tonnes,2754,1.1,1797,509,Production de Arachide en 2021
2021,CM0010401,Meiganga,ARRONDISSEMENT,CM00104,Elevage,Bovins,3244,Têtes,0,0,263,396819,Production de Bovins en 2021
2021,CM0010401,Meiganga,ARRONDISSEMENT,CM00104,Elevage,Petits Ruminants,3208,Têtes,0,0,284,38315,Production de Petits Ruminants en 2021
2021,CM0010402,Djohong,ARRONDISSEMENT,CM00104,Agriculture,Coton,3738,Tonnes,2831,1.32,1756,359,Production de Coton en 2021
2021,CM0010402,Djohong,ARRONDISSEMENT,CM00104,Agriculture,Maïs,2484,Tonnes,955,2.6,1334,253,Production de Maïs en 2021
2021,CM0010402,Djohong,ARRONDISSEMENT,CM00104,Agriculture,Manioc,3065,Tonnes,259,11.83,1344,152,Production de Manioc en 2021
2021,CM0010402,Djohong,ARRONDISSEMENT,CM00104,Agriculture,Pomme de terre,3859,Tonnes,394,9.78,1880,413,Production de Pomme de terre en 2021
2021,CM0010402,Djohong,ARRONDISSEMENT,CM00104,Agriculture,Sorgho,2818,Tonnes,1998,1.41,1521,206,Production de Sorgho en 2021
2021,CM0010402,Djohong,ARRONDISSEMENT,CM00104,Agriculture,Arachide,2100,Tonnes,1721,1.22,1110,497,Production de Arachide en 2021
2021,CM0010402,Djohong,ARRONDISSEMENT,CM00104,Elevage,Bovins,2667,Têtes,0,0,290,417731,Production de Bovins en 2021
2021,CM0010402,Djohong,ARRONDISSEMENT,CM00104,Elevage,Petits Ruminants,2775,Têtes,0,0,290,41305,Production de Petits Ruminants en 2021
2021,CM00105,Vina,DEPARTEMENT,CM001,Agriculture,Coton,13138,Tonnes,10681,1.23,5420,340,Production de Coton en 2021
2021,CM00105,Vina,DEPARTEMENT,CM001,Agriculture,Maïs,12859,Tonnes,5123,2.51,7418,252,Production de Maïs en 2021
2021,CM00105,Vina,DEPARTEMENT,CM001,Agriculture,Manioc,15856,Tonnes,1393,11.38,7961,146,Production de Manioc en 2021
2021,CM00105,Vina,DEPARTEMENT,CM001,Agriculture,Pomme de terre,10881,Tonnes,1076,10.11,5100,389,Production de Pomme de terre en 2021
2021,CM00105,Vina,DEPARTEMENT,CM001,Agriculture,Sorgho,16512,Tonnes,12141,1.36,7930,192,Production de Sorgho en 2021
2021,CM00105,Vina,DEPARTEMENT,CM001,Agriculture,Arachide,17434,Tonnes,15706,1.11,8588,475,Production de Arachide en 2021
2021,CM00105,Vina,DEPARTEMENT,CM001,Elevage,Bovins,10827,Têtes,0,0,1010,405144,Production de Bovins en 2021
2021,CM00105,Vina,DEPARTEMENT,CM001,Elevage,Petits Ruminants,17317,Têtes,0,0,1992,40008,Production de Petits Ruminants en 2021
2021,CM0010501,Ngaoundéré I,ARRONDISSEMENT,CM00105,Agriculture,Coton,2948,Tonnes,2339,1.26,1310,344,Production de Coton en 2021
2021,CM0010501,Ngaoundéré I,ARRONDISSEMENT,CM00105,Agriculture,Maïs,2233,Tonnes,970,2.3,1198,256,Production de Maïs en 2021
2021,CM0010501,Ngaoundéré I,ARRONDISSEMENT,CM00105,Agriculture,Manioc,2719,Tonnes,208,13.05,1330,145,Production de Manioc en 2021
2021,CM0010501,Ngaoundéré I,ARRONDISSEMENT,CM00105,Agriculture,Pomme de terre,3741,Tonnes,391,9.56,2096,403,Production de Pomme de terre en 2021
2021,CM0010501,Ngaoundéré I,ARRONDISSEMENT,CM00105,Agriculture,Sorgho,3722,Tonnes,2297,1.62,2189,193,Production de Sorgho en 2021
2021,CM0010501,Ngaoundéré I,ARRONDISSEMENT,CM00105,Agriculture,Arachide,3382,Tonnes,2915,1.16,1956,483,Production de Arachide en 2021
2021,CM0010501,Ngaoundéré I,ARRONDISSEMENT,CM00105,Elevage,Bovins,3242,Têtes,0,0,280,385041,Production de Bovins en 2021
2021,CM0010501,Ngaoundéré I,ARRONDISSEMENT,CM00105,Elevage,Petits Ruminants,3248,Têtes,0,0,323,40842,Production de Petits Ruminants en 2021
2021,CM0010502,Ngaoundéré II,ARRONDISSEMENT,CM00105,Agriculture,Coton,2929,Tonnes,2662,1.1,1553,339,Production de Coton en 2021
2021,CM0010502,Ngaoundéré II,ARRONDISSEMENT,CM00105,Agriculture,Maïs,3130,Tonnes,1320,2.37,1665,258,Production de Maïs en 2021
2021,CM0010502,Ngaoundéré II,ARRONDISSEMENT,CM00105,Agriculture,Manioc,2690,Tonnes,229,11.71,1340,156,Production de Manioc en 2021
2021,CM0010502,Ngaoundéré II,ARRONDISSEMENT,CM00105,Agriculture,Pomme de terre,3719,Tonnes,342,10.85,1565,396,Production de Pomme de terre en 2021
2021,CM0010502,Ngaoundéré II,ARRONDISSEMENT,CM00105,Agriculture,Sorgho,2809,Tonnes,1723,1.63,1587,194,Production de Sorgho en 2021
2021,CM0010502,Ngaoundéré II,ARRONDISSEMENT,CM00105,Agriculture,Arachide,3514,Tonnes,3029,1.16,1888,519,Production de Arachide en 2021
2021,CM0010502,Ngaoundéré II,ARRONDISSEMENT,CM00105,Elevage,Bovins,3199,Têtes,0,0,303,396955,Production de Bovins en 2021
2021,CM0010502,Ngaoundéré II,ARRONDISSEMENT,CM00105,Elevage,Petits Ruminants,3047,Têtes,0,0,270,38849,Production de Petits Ruminants en 2021
2021,CM0010503,Ngaoundéré III,ARRONDISSEMENT,CM00105,Agriculture,Coton,2450,Tonnes,1884,1.3,1353,364,Production de Coton en 2021
2021,CM0010503,Ngaoundéré III,ARRONDISSEMENT,CM00105,Agriculture,Maïs,3473,Tonnes,1400,2.48,1863,258,Production de Maïs en 2021
2021,CM0010503,Ngaoundéré III,ARRONDISSEMENT,CM00105,Agriculture,Manioc,3682,Tonnes,330,11.14,2186,144,Production de Manioc en 2021
2021,CM0010503,Ngaoundéré III,ARRONDISSEMENT,CM00105,Agriculture,Pomme de terre,3812,Tonnes,378,10.06,1567,397,Production de Pomme de terre en 2021
2021,CM0010503,Ngaoundéré III,ARRONDISSEMENT,CM00105,Agriculture,Sorgho,2529,Tonnes,1610,1.57,1170,206,Production de Sorgho en 2021
2021,CM0010503,Ngaoundéré III,ARRONDISSEMENT,CM00105,Agriculture,Arachide,2610,Tonnes,2394,1.09,1159,498,Production de Arachide en 2021
2021,CM0010503,Ngaoundéré III,ARRONDISSEMENT,CM00105,Elevage,Bovins,3431,Têtes,0,0,285,392007,Production de Bovins en 2021
2021,CM0010503,Ngaoundéré III,ARRONDISSEMENT,CM00105,Elevage,Petits Ruminants,2730,Têtes,0,0,314,40004,Production de Petits Ruminants en 2021
2021,CM0010504,Belel,ARRONDISSEMENT,CM00105,Agriculture,Coton,2997,Tonnes,2323,1.29,1537,355,Production de Coton en 2021
2021,CM0010504,Belel,ARRONDISSEMENT,CM00105,Agriculture,Maïs,3719,Tonnes,1505,2.47,1906,250,Production de Maïs en 2021
2021,CM0010504,Belel,ARRONDISSEMENT,CM00105,Agriculture,Manioc,2116,Tonnes,175,12.03,1179,150,Production de Manioc en 2021
2021,CM0010504,Belel,ARRONDISSEMENT,CM00105,Agriculture,Pomme de terre,3132,Tonnes,300,10.43,1642,412,Production de Pomme de terre en 2021
2021,CM0010504,Belel,ARRONDISSEMENT,CM00105,Agriculture,Sorgho,3239,Tonnes,2076,1.56,1304,205,Production de Sorgho en 2021
2021,CM0010504,Belel,ARRONDISSEMENT,CM00105,Agriculture,Arachide,2709,Tonnes,2067,1.31,1152,501,Production de Arachide en 2021
2021,CM0010504,Belel,ARRONDISSEMENT,CM00105,Elevage,Bovins,3605,Têtes,0,0,358,395126,Production de Bovins en 2021
2021,CM0010504,Belel,ARRONDISSEMENT,CM00105,Elevage,Petits Ruminants,2651,Têtes,0,0,307,38480,Production de Petits Ruminants en 2021
2021,CM002,Centre,REGION,CMR,Agriculture,Cacao,66887,Tonnes,139347,0.48,37591,1433,Production de Cacao en 2021
2021,CM002,Centre,REGION,CMR,Agriculture,Café,64346,Tonnes,149641,0.43,29487,1162,Production de Café en 2021
2021,CM002,Centre,REGION,CMR,Agriculture,Maïs,91920,Tonnes,38300,2.4,37373,244,Production de Maïs en 2021
2021,CM002,Centre,REGION,CMR,Agriculture,Manioc,80169,Tonnes,6947,11.54,44307,147,Production de Manioc en 2021
2021,CM002,Centre,REGION,CMR,Agriculture,Banane,66345,Tonnes,4113,16.13,26605,198,Production de Banane en 2021
2021,CM002,Centre,REGION,CMR,Agriculture,Arachide,96471,Tonnes,74783,1.29,48710,485,Production de Arachide en 2021
2021,CM002,Centre,REGION,CMR,Agriculture,Palmier à huile,74180,Tonnes,9997,7.42,30901,87,Production de Palmier à huile en 2021
2021,CM002,Centre,REGION,CMR,Agriculture,Ananas,69737,Tonnes,3558,19.6,41323,149,Production de Ananas en 2021
2021,CM002,Centre,REGION,CMR,Elevage,Volailles,67325,Têtes,0,0,5560,3568,Production de Volailles en 2021
2021,CM002,Centre,REGION,CMR,Elevage,Porcins,66867,Têtes,0,0,7458,51297,Production de Porcins en 2021
2021,CM002,Centre,REGION,CMR,Peche,Pêche Continentale,102003,Tonnes,0,0,53059,1464,Production de Pêche Continentale en 2021
2021,CM002,Centre,REGION,CMR,Peche,Aquaculture,93916,Tonnes,0,0,43455,2603,Production de Aquaculture en 2021
2021,CM00201,Haute-Sanaga,DEPARTEMENT,CM002,Agriculture,Cacao,13960,Tonnes,30347,0.46,6824,1479,Production de Cacao en 2021
2021,CM00201,Haute-Sanaga,DEPARTEMENT,CM002,Agriculture,Café,13639,Tonnes,36862,0.37,8085,1188,Production de Café en 2021
2021,CM00201,Haute-Sanaga,DEPARTEMENT,CM002,Agriculture,Maïs,11202,Tonnes,4648,2.41,5494,252,Production de Maïs en 2021
2021,CM00201,Haute-Sanaga,DEPARTEMENT,CM002,Agriculture,Manioc,14782,Tonnes,1128,13.1,8623,151,Production de Manioc en 2021
2021,CM00201,Haute-Sanaga,DEPARTEMENT,CM002,Agriculture,Banane,18959,Tonnes,1184,16.01,8046,202,Production de Banane en 2021
2021,CM00201,Haute-Sanaga,DEPARTEMENT,CM002,Agriculture,Arachide,11349,Tonnes,9226,1.23,5257,485,Production de Arachide en 2021
2021,CM00201,Haute-Sanaga,DEPARTEMENT,CM002,Agriculture,Palmier à huile,15357,Tonnes,1905,8.06,7457,89,Production de Palmier à huile en 2021
2021,CM00201,Haute-Sanaga,DEPARTEMENT,CM002,Agriculture,Ananas,13311,Tonnes,723,18.41,6625,143,Production de Ananas en 2021
2021,CM00201,Haute-Sanaga,DEPARTEMENT,CM002,Elevage,Volailles,16712,Têtes,0,0,1450,3578,Production de Volailles en 2021
2021,CM00201,Haute-Sanaga,DEPARTEMENT,CM002,Elevage,Porcins,19476,Têtes,0,0,1988,48180,Production de Porcins en 2021
2021,CM00201,Haute-Sanaga,DEPARTEMENT,CM002,Peche,Pêche Continentale,13069,Tonnes,0,0,6133,1534,Production de Pêche Continentale en 2021
